hour,temperature,weather,historical_load,renewable_generation,voltage,current,previous_congestion,congestion_score
18.0,17.372031690607024,0.0,238.94834685000023,54.95958894198625,220.87588927556595,700.0,0.35745226179791745,0.4566856431528565
12.0,38.71233438172383,1.0,444.007215375787,136.15820034767262,222.30412916351133,700.0,0.43729625259174826,0.619848383458896
20.0,25.47525237710061,3.0,180.0793807933851,56.32823733411329,227.38422529488741,700.0,0.2383142057569762,0.4846773814161224
17.0,26.365349335170755,0.0,227.33634829220512,131.09427459939957,230.92638248703605,700.0,0.19206350933144947,0.3975919507662412
6.0,22.498732190915668,0.0,231.29811736654017,5.5753983014648085,221.46614616561772,700.0,0.647260917917706,0.36272116802514426
22.0,14.244881148675693,1.0,124.69478996409171,32.71746440554903,227.27202702571458,572.587634273498,0.3414829931533473,0.3605957488462143
18.0,26.93559727369463,3.0,306.9436502961805,67.78244519094473,217.07644615092727,700.0,0.6585684703755142,0.5751807792497312
19.0,17.837332595405826,2.0,194.37260322755668,37.858624411913745,223.46503703916946,700.0,0.1097452532477924,0.4639995740509063
7.0,25.801216804579592,2.0,347.556876850105,31.81482710088755,220.8023470363654,700.0,0.704632533428331,0.5689020588576466
12.0,26.23985055316988,0.0,399.4912672649335,220.5178930443156,225.3298455414414,700.0,0.37638820937674655,0.46965770682237096
11.0,24.291593711146604,0.0,355.0293513117193,214.56668725102872,219.26744198393945,700.0,0.36248436127747574,0.46826101191009134
21.0,16.95132257499854,1.0,81.27988597773742,22.59715500566889,227.78731544706147,350.5933600943066,0.39845550279885955,0.27410632087865366
16.0,29.827579834801263,0.0,267.93266272372637,104.12716392805102,226.3874339954837,700.0,0.37341768741649767,0.47143382076197404
19.0,24.225357787482878,2.0,142.63353554900127,10.293570970454109,232.9488070286125,634.0753791540415,0.2690273595865281,0.3870896498391864
12.0,30.702400383116274,0.0,377.5412171358429,200.77554400129478,221.4292732092615,700.0,0.5687950420146708,0.5621198438346419
9.0,36.98561249603515,0.0,455.50731645008733,152.14557908203565,222.58186736369885,700.0,0.7064946375437644,0.6285459419584811
14.0,34.347906541387246,1.0,419.7050784127925,107.88526721017618,218.30061986629204,700.0,0.36898475505786826,0.5929555778916656
4.0,16.269793410270992,1.0,304.8321540439747,94.48559509983279,222.382336809897,700.0,0.6907940586851613,0.5251692836141949
